Date,Close,High,Low,Open,Volume
2026-01-08,131.5,135.0,116.0999984741211,120.0,17518159
2026-01-09,158.60000610351562,165.0,137.1999969482422,137.1999969482422,6908145
2026-01-12,208.39999389648438,258.0,165.10000610351562,182.3000030517578,9421009
2026-01-13,181.8000030517578,225.1999969482422,176.0,220.39999389648438,4117444
2026-01-14,216.0,222.60000610351562,189.0,194.6999969482422,5821301
2026-01-15,241.0,243.0,206.0,212.0,3436595
2026-01-16,250.0,263.0,228.0,233.8000030517578,4242273
2026-01-19,224.0,250.0,220.1999969482422,245.0,2363775
2026-01-20,207.39999389648438,232.1999969482422,197.5,232.0,2642614
2026-01-21,204.0,217.0,200.0,208.0,1707360
2026-01-22,202.60000610351562,209.60000610351562,196.10000610351562,209.60000610351562,1208921
2026-01-23,192.0,205.0,190.6999969482422,205.0,1317505
2026-01-26,217.0,224.1999969482422,185.0,192.0,3131935
2026-01-27,233.39999389648438,244.60000610351562,214.0,223.0,3321494
2026-01-28,228.0,233.1999969482422,221.0,233.1999969482422,1284174
2026-01-29,227.0,252.0,224.0,230.60000610351562,2974195
2026-01-30,226.1999969482422,234.8000030517578,216.60000610351562,228.0,1156013
2026-02-02,224.60000610351562,246.60000610351562,219.0,226.1999969482422,1791910
2026-02-03,243.1999969482422,253.0,229.8000030517578,230.0,2544481
2026-02-04,227.1999969482422,237.0,222.1999969482422,235.0,1116794
2026-02-05,216.1999969482422,231.0,210.60000610351562,222.60000610351562,938707
2026-02-06,203.1999969482422,208.60000610351562,198.0,207.0,1177111
2026-02-09,276.79998779296875,287.79998779296875,214.0,214.0,4530724
2026-02-10,317.79998779296875,344.0,277.3999938964844,278.0,3427046
2026-02-11,312.3999938964844,354.0,306.79998779296875,333.0,3120272
2026-02-12,402.0,443.0,318.79998779296875,339.79998779296875,6813071
2026-02-13,485.0,496.0,408.0,422.0,5238296
2026-02-16,502.5,502.5,502.5,502.5,0
2026-02-20,725.0,725.0,532.5,534.0,5266887
2026-02-23,560.0,672.5,540.0,625.0,5397566
2026-02-24,628.0,698.0,525.0,575.5,5089620
2026-02-25,560.5,666.0,555.5,591.0,2819983
2026-02-26,556.5,600.0,553.0,580.5,1858203
2026-02-27,575.0,592.0,482.0,540.0,3914912
2026-03-02,550.0,610.0,544.0,550.5,1719691
2026-03-03,528.0,625.0,526.5,568.0,4402599
2026-03-04,510.0,578.0,500.0,534.0,2355798
2026-03-05,520.0,551.5,497.0,526.0,2023341
2026-03-06,532.0,553.5,505.0,509.0,1380878
2026-03-09,575.0,583.0,481.20001220703125,513.0,4377154
2026-03-10,649.0,697.0,587.0,648.0,7467565
2026-03-11,609.5,708.0,600.0,629.0,4619682
2026-03-12,555.5,633.5,545.5,625.0,3103968
2026-03-13,530.0,582.0,519.0,551.5,3044232
2026-03-16,605.0,615.0,543.5,545.0,3778080
2026-03-17,621.5,639.5,593.5,609.0,2314464
2026-03-18,742.5,765.0,624.0,625.0,4439353
2026-03-19,659.0,738.0,646.0,710.0,2511730
2026-03-20,630.5,690.0,615.0,683.0,1980638
2026-03-23,590.0,633.5,571.0,600.0,1783482
2026-03-24,655.0,655.0,595.0,618.0,1821358
2026-03-25,760.0,760.0,663.0,685.0,3312577
2026-03-26,684.0,790.0,683.0,780.0,1879730
